rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
domain	7	0.013465357034920642	1.8252193611401548	0.0022536600000000106	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10239172569046309	0.1477200348816942	0.0011268294703901543	0.013497026808531746	7.076906767218603	0.0022547100000000105	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10240618074687657	0.09321412276484504	0.0011273538782828965
domain	9	0.013465357034920642	1.8252193611401548	0.0022885700000000496	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10245757514992394	0.14781503557030357	0.0011442862758792225	0.013497026808531746	7.076906767218603	0.00229079000000005	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10248647511738776	0.09328720985056164	0.0011453950057269998
domain	1	0.013465357034920642	1.8252193611401548	0.002167790000000074	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10221879707251333	0.14747055162215028	0.0010838992109484715	0.013497026808531746	7.076906767218603	0.002177550000000074	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10233140032173091	0.09314605468849363	0.0010887739166699898
domain	18	0.013465357034920642	1.8252193611401548	0.0029990300000000093	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10382046832294059	0.1497812747922761	0.001499516851903317	0.013497026808531746	7.076906767218603	0.003001480000000009	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10385212090814744	0.09453027421898892	0.0015007400150074048
domain	0	0.013465357034920642	1.8252193611401548	0.004973719999999968	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.10756407594707551	0.15518215894664966	0.0024868675103398652	0.013497026808531746	7.076906767218603	0.004979739999999968	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.10763643889533335	0.09797490889695507	0.0024898700248986846
domain	8	0.013465357034920642	1.8252193611401548	0.006480930000000029	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.08514673764189049	0.12284077614382903	0.003240471043478511	0.013497026808531746	7.076906767218603	0.006482640000000028	1.0	0.6666666666666666	0.8	2.0	1.0	0.0	3.0	0.6666666666666666	0.08516944476128102	0.07752456953174558	0.003241323273736521
kingdom	9	0.013465357034920642	1.8252193611401548	0.05872192000000004	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.7604435318126153	0.6921855322904956	0.029362448969787278	0.013497026808531746	7.076906767218603	0.058714720000000026	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7609502489172906	0.4246944201975566	0.029358132412463787
kingdom	1	0.013465357034920642	1.8252193611401548	0.003256899999999975	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.7173211306926749	0.517437818987593	0.0016285007277976585	0.013497026808531746	7.076906767218603	0.0032682699999999755	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7174552101768626	0.4004193768742656	0.0016341766143074714
kingdom	10	0.013465357034920642	1.8252193611401548	0.0835742799999999	0.5	1.0	0.6666666666666666	3.0	0.0	3.0	3.0	0.5	0.7175725011204357	0.6531626384685507	0.041792866458562096	0.013497026808531746	7.076906767218603	0.08346291999999991	0.8333333333333334	0.8333333333333334	0.8333333333333334	5.0	1.0	1.0	6.0	0.7142857142857143	0.7195619799283927	0.4015951874602912	0.04173261599346297
kingdom	11	0.013465357034920642	1.8252193611401548	0.06704644000000004	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.7979863571570277	0.5756254800837466	0.03352411609962336	0.013497026808531746	7.076906767218603	0.06704966000000004	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7980285013630004	0.44538818690145704	0.0335256721648848
kingdom	12	0.013465357034920642	1.8252193611401548	0.061761929999999916	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.7168422771449687	0.6524979599618573	0.03088218222121221	0.013497026808531746	7.076906767218603	0.06176285999999992	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.717135831905278	0.4002411284670046	0.030882231393904638
kingdom	13	0.013465357034920642	1.8252193611401548	0.036318279999999994	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.8166688345307871	0.589102038813068	0.018159652828595878	0.013497026808531746	7.076906767218603	0.03632049	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.8166981360393031	0.45580790840813123	0.018160737791619974
kingdom	14	0.013465357034920642	1.8252193611401548	0.18084192999999993	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.33903474857207455	0.3086027273398694	0.09042238056236766	0.013497026808531746	7.076906767218603	0.1808432799999999	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.33905401782506145	0.1892296503230628	0.09042299453645812
kingdom	15	0.013465357034920642	1.8252193611401548	0.1330349700000001	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.724502053297004	0.6594701886826206	0.06652275859168741	0.013497026808531746	7.076906767218603	0.1330117300000001	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7254144675152222	0.4048615229742601	0.0665079197621811
kingdom	16	0.013465357034920642	1.8252193611401548	0.18994854000000003	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.3495341551893366	0.3181596990992067	0.0949784357541922	0.013497026808531746	7.076906767218603	0.18989494000000004	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.35009235516697035	0.1953902636930396	0.094948958799674
kingdom	17	0.013465357034920642	1.8252193611401548	0.006910419999999973	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.4867740803342019	0.4430808624253939	0.0034553645930118777	0.013497026808531746	7.076906767218603	0.0069474099999999725	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.4871764090103819	0.27189833087377097	0.003473796169780462
kingdom	18	0.013465357034920642	1.8252193611401548	0.013674170000000074	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.6496198987617557	0.5913095142503049	0.006837832477657332	0.013497026808531746	7.076906767218603	0.013648100000000074	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.6510989907326716	0.3633852656646961	0.006824222994052937
