1119058	4265357
1119528	4306529
1119529	2441992
1119534	3613620
112002	2995423
1120045	7077758
1120568	3887441
1120755	26181343
112090	75844385
1120917	2419519
1120918	3082721
1120919	4241307
1120920	3615609
1120923	3964820
1120926	4595172
1120931	2621135
1120933	1920341
1120934	8119858
1120935	7278759
1120936	6710579
1120937	8385432
1120940	7528180
1120941	3531393
1120942	2498023
1120943	3420019
1120945	2270293
1120946	2294128
1120947	2338426
1120948	5861079
1120949	10988507
1120950	7983713
1120951	4042904
1120953	3783840
1120954	2990149
1120955	3963421
1120956	3872586
1120958	2677837
1120959	3730505
1120960	4303916
1120961	3364770
1120963	4341282
1120964	4834448
1120965	4152949
1120966	4431678
1120967	5783376
1120968	4712065
1120969	4878345
1120970	4413269
1120971	3272318
1120972	3310509
1120973	3363524
1120975	2331365
1120976	4459788
1120977	3299408
1120978	1441290
1120979	1847146
1120981	2432066
1120983	4317545
1120984	8777509
1120985	3338457
1120987	1967584
1120988	3804739
1120989	2034462
1120990	2300172
1120992	3475815
1120995	2021907
1120996	5217774
1120997	2781134
1120998	3263520
1120999	5149006
1121001	4626202
1121002	4247673
1121003	3640212
1121004	2612795
1121006	6245252
1121011	4989751
1121012	4480165
1121013	3159341
1121014	2977056
1121015	3091755
1121016	3957769
1121017	3995323
1121019	4585800
1121020	2925008
1121022	4987073
1121023	1657369
1121024	2267201
1121025	2124342
1121026	4190965
1121027	4615647
1121028	5097296
1121029	5004685
1121030	8786776
1121033	6512377
1121034	5455784
1121035	4025691
1121085	4418137
1121086	4023079
1121087	3519702
1121088	3366995
1121089	5118421
1121090	4509444
1121091	4171218
1121092	5052265
1121093	5411691
1121094	3619906
1121096	4917576
1121098	4646209
1121099	2634691
1121103	3653918
1121104	2857749
1121106	6727093
1121108	1825255
1121109	1867315
1121111	2223595
1121112	2157688
1121113	6477857
1121114	6197116
1121115	4685728
1121116	2503561
1121117	2712870
1121118	1922095
1121120	4891702
1121121	5400144
1121122	4094970
1121123	2579573
1121124	3220540
1121125	3164519
1121127	9627966
1121129	4770838
1121255	4605942
1121256	2760766
1121262	2655018
1121264	2461935
1121267	1937768
1121270	2578924
1121271	4523636
1121272	7688589
1121274	3425989
1121275	3685547
1121278	5586102
1121279	4075245
1121280	4151628
1121284	3346045
1121285	4118409
1121286	4214564
1121287	4439376
1121288	2982326
1121289	3250627
1121290	2424212
1121291	3999957
1121293	4589511
1121298	4262456
1121301	4060624
1121302	4987666
1121303	6132222
1121305	2619501
1121306	3482404
1121307	2735032
1121310	5242194
1121315	4060596
1121316	4474501
1121319	4101506
1121321	2622699
1121322	6621268
1121324	3404633
1121325	3782458
1121326	6472246
1121328	1925591
1121331	2818024
1121333	3143441
1121334	3174421
1121335	2974379
1121337	4401411
1121338	3060113
1121340	2819317
1121345	5420325
1121346	4476185
1121347	5051029
1121348	3681020
1121349	4634066
1121353	2928683
1121354	1979952
1121355	1863130
1121356	2584365
1121361	2866769
1121362	3222008
1121363	2944170
1121364	2237865
1121365	2370005
1121368	2261008
1121370	2300451
1121372	2944984
1121373	4425125
1121374	4104988
1121375	3711979
1121377	4452642
1121378	5003288
1121380	4031778
1121381	4800021
1121382	5078290
1121383	2767614
1121385	3574772
1121388	5185168
1121389	3793187
1121390	3696795
1121391	4239823
1121393	6467702
1121394	4481975
1121395	5606984
1121396	5644283
1121398	4466775
1121399	4667344
1121400	5035799
1121402	3961953
1121403	5800571
1121404	4796810
1121406	3627185
1121409	4977298
1121411	3782107
1121413	2939696
1121416	6065581
1121419	4939873
1121420	5558020
1121421	4020963
1121422	3471050
1121423	2622239
1121424	5215335
1121425	2881643
1121426	3652244
1121428	2695031
1121429	3116019
1121430	2654868
1121431	2962458
1121432	3413166
1121433	3242094
1121438	5128906
1121439	3202328
1121441	3909169
1121442	3266412
1121443	3359127
1121444	3545807
1121447	4185035
1121448	3796022
1121449	3179481
1121451	3708362
1121453	5767550
1121455	2741424
1121456	3701832
1121457	3710653
1121459	3324581
1121462	4705742
1121464	4440187
1121467	4092653
1121468	3060447
1121472	2821579
1121476	4034121
1121477	4297655
1121479	4728486
1121480	6110349
1121481	6287614
1121482	7376607
1121483	6173415
1121860	8177135
1121861	4304237
1121865	2545099
1121866	3009872
1121867	5503346
1121868	5037269
1121869	5449689
1121870	3625890
1121874	1931022
1121875	3906474
1121877	3088654
1121878	4296027
1121879	4930960
1121880	3885737
1121881	2489535
1121883	2146020
1121884	4677460
1121886	2945400
1121887	4244138
1121888	4823485
1121889	3192093
1121890	3631041
1121891	3441043
1121895	4489248
1121896	3158735
1121897	4002854
1121898	4638566
1121899	2880663
1121901	3774544
1121902	4030713
1121903	4254862
1121904	9536821
1121909	3089149
1121910	2408630
1121911	2163332
1121912	4430943
1121914	1869681
1121917	3059517
1121918	4241730
1121919	3858006
1121920	3289813
1121921	4068866
1121922	4363047
1121924	4802534
1121925	2217574
1121926	5048579
1121927	3489460
1121928	3330647
1121929	4409254
1121930	3831242
1121931	3513826
1121932	3269398
1121933	4063008
1121935	6564965
1121936	2707549
1121937	4258722
1121938	3845569
1121939	5070590
1121940	2876467
1121941	3464094
1121942	3960292
1121943	4533090
1121946	9478888
1121947	1573767
1121948	3208823
1121949	3277765
1121950	4402942
1121952	3693075
1121953	4253037
1121954	5870407
1121955	4385746
1121957	6008309
1121959	4767747
1122124	2624474
1122125	7413714
1122128	2109822
1122129	2345682
1122130	3038127
1122131	4839203
1122132	4766107
1122133	5237791
1122134	2681803
1122135	4438944
1122137	4082245
1122138	9627810
1122139	3750691
1122140	3752699
1122142	2717066
1122143	2134509
1122146	1385752
1122150	2563476
1122152	1542852
1122154	2203491
1122155	4839287
1122156	3184472
1122157	3110307
1122158	3785435
1122160	3696762
1122163	3409712
1122169	3507052
1122175	2964712
1122176	7298817
1122177	11332409
1122179	7082771
1122180	3188840
1122181	3721596
1122182	6821241
1122183	3416011
1122184	3583033
1122185	3032117
1122188	3099673
1122189	3961631
1122190	2271305
1122191	4853010
1122192	5663707
1122194	4502291
1122195	2312367
1122197	3830061
1122200	5177835
1122201	4380400
1122202	5364574
1122203	3139679
1122204	2908575
1122207	3342098
1122208	5966820
1122209	3137549
1122211	2920434
1122212	2836070
1122214	5693067
1122215	6594487
1122217	2330046
1122218	3409949
1122219	3152696
1122221	3034817
1122223	3190628
1122228	1884654
1122229	1878029
1122230	1706782
1122233	1513583
1122236	2860219
1122237	3017924
1122238	2809959
1122239	3115873
1122241	2999839
1122243	2427214
1122247	5269097
1122248	834674
1122249	813344
1122252	3083561
1122261	4880542
112234	4890621
112248	3844441
1122599	4391552
1122601	4157019
1122602	2591866
1122603	4515285
1122604	5780610
1122605	5927438
1122607	4626718
1122608	4854484
1122609	4856512
1122610	4060447
1122611	9073954
1122612	3709060
1122613	3018426
1122614	4659730
1122615	4505834
1122616	5325321
1122617	3709807
1122621	5053571
1122622	3852644
1122623	7048723
1122915	8235023
1122916	5027965
1122917	7464058
1122918	6309271
1122919	5675308
1122920	6968425
1122921	6385800
1122924	6760575
1122925	4804136
1122926	5247653
1122927	6361561
1122930	2890610
1122934	2443757
1122935	1989693
1122939	4470560
1122940	4238191
1122946	5088373
1122947	5027115
1122951	2424065
1122953	2820836
1122954	2128686
1122955	2031766
1122956	2072934
1122959	4690166
1122960	4800313
1122961	1545895
1122962	4620652
1122963	5230452
1122967	4581480
1122970	2954426
1122971	2023236
1122974	2214526
1122976	2254407
1122978	2668851
1122980	3128717
1122981	2800206
1122983	2800241
1122984	2674170
1122985	3508589
1122988	2650108
1122990	3455832
1122992	3217068
1122998	2938072
1122999	3623963
1123000	4103731
1123001	2035623
1123003	4153026
1123008	4776693
1123009	2411055
1123010	6094166
1123011	3020378
1123012	3420924
1123013	2223047
1123014	4367405
1123016	4383480
1123020	6027681
1123023	9931328
1123024	5056835
1123025	9537556
1123027	3430274
1123029	5165242
1123030	3031349
1123032	3539325
1123035	3001811
