tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	1	0.0
Gold standard	order	Bray-Curtis distance	1	0.0
Gold standard	family	Bray-Curtis distance	1	0.0
Gold standard	genus	Bray-Curtis distance	1	0.0
Gold standard	species	Bray-Curtis distance	1	0.0
Gold standard	strain	Bray-Curtis distance	1	0.0
Gold standard	cellular root	Shannon diversity	1	0.0
Gold standard	cellular root	Shannon equitability	1	0.0
Gold standard	domain	Shannon diversity	1	0.09804104547993493
Gold standard	domain	Shannon equitability	1	0.14144333011747146
Gold standard	kingdom	Shannon diversity	1	0.7131881115279205
Gold standard	kingdom	Shannon equitability	1	0.44312868860489363
Gold standard	phylum	Shannon diversity	1	0.8871140004895365
Gold standard	phylum	Shannon equitability	1	0.3699552730900814
Gold standard	class	Shannon diversity	1	1.258684954206203
Gold standard	class	Shannon equitability	1	0.4442605626035158
Gold standard	order	Shannon diversity	1	1.8462498582090157
Gold standard	order	Shannon equitability	1	0.54282349744335
Gold standard	family	Shannon diversity	1	2.318956377262951
Gold standard	family	Shannon equitability	1	0.6023032405908224
Gold standard	genus	Shannon diversity	1	2.9379462966555794
Gold standard	genus	Shannon equitability	1	0.6561816585152239
Gold standard	species	Shannon diversity	1	3.1663835485159453
Gold standard	species	Shannon equitability	1	0.6557949049692621
Gold standard	strain	Shannon diversity	1	3.279107821223074
Gold standard	strain	Shannon equitability	1	0.6307799738080482
Gold standard	cellular root	True positives	1	1.0
Gold standard	cellular root	False negatives	1	0.0
Gold standard	cellular root	False positives	1	0.0
Gold standard	cellular root	Completeness	1	1.0
Gold standard	cellular root	Purity	1	1.0
Gold standard	cellular root	F1 score	1	1.0
Gold standard	cellular root	Jaccard index	1	1.0
Gold standard	domain	True positives	1	2.0
Gold standard	domain	False negatives	1	0.0
Gold standard	domain	False positives	1	0.0
Gold standard	domain	Completeness	1	1.0
Gold standard	domain	Purity	1	1.0
Gold standard	domain	F1 score	1	1.0
Gold standard	domain	Jaccard index	1	1.0
Gold standard	kingdom	True positives	1	5.0
Gold standard	kingdom	False negatives	1	0.0
Gold standard	kingdom	False positives	1	0.0
Gold standard	kingdom	Completeness	1	1.0
Gold standard	kingdom	Purity	1	1.0
Gold standard	kingdom	F1 score	1	1.0
Gold standard	kingdom	Jaccard index	1	1.0
Gold standard	phylum	True positives	1	11.0
Gold standard	phylum	False negatives	1	0.0
Gold standard	phylum	False positives	1	0.0
Gold standard	phylum	Completeness	1	1.0
Gold standard	phylum	Purity	1	1.0
Gold standard	phylum	F1 score	1	1.0
Gold standard	phylum	Jaccard index	1	1.0
Gold standard	class	True positives	1	17.0
Gold standard	class	False negatives	1	0.0
Gold standard	class	False positives	1	0.0
Gold standard	class	Completeness	1	1.0
Gold standard	class	Purity	1	1.0
Gold standard	class	F1 score	1	1.0
Gold standard	class	Jaccard index	1	1.0
Gold standard	order	True positives	1	30.0
Gold standard	order	False negatives	1	0.0
Gold standard	order	False positives	1	0.0
Gold standard	order	Completeness	1	1.0
Gold standard	order	Purity	1	1.0
Gold standard	order	F1 score	1	1.0
Gold standard	order	Jaccard index	1	1.0
Gold standard	family	True positives	1	47.0
Gold standard	family	False negatives	1	0.0
Gold standard	family	False positives	1	0.0
Gold standard	family	Completeness	1	1.0
Gold standard	family	Purity	1	1.0
Gold standard	family	F1 score	1	1.0
Gold standard	family	Jaccard index	1	1.0
Gold standard	genus	True positives	1	88.0
Gold standard	genus	False negatives	1	0.0
Gold standard	genus	False positives	1	0.0
Gold standard	genus	Completeness	1	1.0
Gold standard	genus	Purity	1	1.0
Gold standard	genus	F1 score	1	1.0
Gold standard	genus	Jaccard index	1	1.0
Gold standard	species	True positives	1	125.0
Gold standard	species	False negatives	1	0.0
Gold standard	species	False positives	1	0.0
Gold standard	species	Completeness	1	1.0
Gold standard	species	Purity	1	1.0
Gold standard	species	F1 score	1	1.0
Gold standard	species	Jaccard index	1	1.0
Gold standard	strain	True positives	1	181.0
Gold standard	strain	False negatives	1	0.0
Gold standard	strain	False positives	1	0.0
Gold standard	strain	Completeness	1	1.0
Gold standard	strain	Purity	1	1.0
Gold standard	strain	F1 score	1	1.0
Gold standard	strain	Jaccard index	1	1.0
Gold standard	cellular root	L1 norm error	1	0.0
Gold standard	domain	L1 norm error	1	0.0
Gold standard	kingdom	L1 norm error	1	0.0
Gold standard	phylum	L1 norm error	1	0.0
Gold standard	class	L1 norm error	1	0.0
Gold standard	order	L1 norm error	1	0.0
Gold standard	family	L1 norm error	1	0.0
Gold standard	genus	L1 norm error	1	0.0
Gold standard	species	L1 norm error	1	0.0
Gold standard	strain	L1 norm error	1	0.0
Gold standard	na	Weighted UniFrac error	1	0.0
Gold standard	na	Unweighted UniFrac error	1	0.0
Gold standard	na	Weighted UniFrac (CAMI)	1	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	1	0.0
Gold standard	cellular root	Sum of abundances	1	1.0
Gold standard	domain	Sum of abundances	1	1.000002
Gold standard	kingdom	Sum of abundances	1	1.000003
Gold standard	phylum	Sum of abundances	1	1.000002
Gold standard	class	Sum of abundances	1	1.000003
Gold standard	order	Sum of abundances	1	0.999996
Gold standard	family	Sum of abundances	1	0.999918
Gold standard	genus	Sum of abundances	1	0.999993
Gold standard	species	Sum of abundances	1	0.9999800000000001
Gold standard	strain	Sum of abundances	1	0.999963
Gold standard	cellular root	Taxon counts	1	1.0
Gold standard	domain	Taxon counts	1	2.0
Gold standard	kingdom	Taxon counts	1	5.0
Gold standard	phylum	Taxon counts	1	11.0
Gold standard	class	Taxon counts	1	17.0
Gold standard	order	Taxon counts	1	30.0
Gold standard	family	Taxon counts	1	47.0
Gold standard	genus	Taxon counts	1	88.0
Gold standard	species	Taxon counts	1	125.0
Gold standard	strain	Taxon counts	1	181.0
Gold standard	cellular root	Bray-Curtis distance	2	0.0
Gold standard	domain	Bray-Curtis distance	2	0.0
Gold standard	kingdom	Bray-Curtis distance	2	0.0
Gold standard	phylum	Bray-Curtis distance	2	0.0
Gold standard	class	Bray-Curtis distance	2	0.0
Gold standard	order	Bray-Curtis distance	2	0.0
Gold standard	family	Bray-Curtis distance	2	0.0
Gold standard	genus	Bray-Curtis distance	2	0.0
Gold standard	species	Bray-Curtis distance	2	0.0
Gold standard	strain	Bray-Curtis distance	2	0.0
Gold standard	cellular root	Shannon diversity	2	0.0
Gold standard	cellular root	Shannon equitability	2	0.0
Gold standard	domain	Shannon diversity	2	0.09803522143392324
Gold standard	domain	Shannon equitability	2	0.14143492779517247
